Rank,Title,Author,Description
1,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Hardcover,"[('James Clear (@JamesClear) / TwitterTwitterhttps://twitter.com › JamesClear', 'https://twitter.com/JamesClear'), ('James ClearFacebookhttps://www.facebook.com › ... › Author › James Clear', 'https://www.facebook.com/jamesclear/')]"
2,Outlive: The Science and Art of Longevity,Peter Attia MD,Hardcover,"[('Peter Attia (@peterattiamd) • Instagram photos and videosInstagramhttps://www.instagram.com › peterattiamd', 'https://www.instagram.com/peterattiamd/?hl=en'), ('Peter Attia (@PeterAttiaMD) / TwitterTwitterhttps://twitter.com › PeterAttiaMD', 'https://twitter.com/PeterAttiaMD'), ('Peter Attia, MDFacebookhttps://www.facebook.com › ... › Peter Attia, MD', 'https://www.facebook.com/peterattiamd/')]"
3,Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man #11): From the Creator of Captain Underpants,Dav Pilkey,Hardcover,"[('Dave PilkeyFacebookhttps://www.facebook.com › ... › Author › Dave Pilkey', 'https://www.facebook.com/profile.php?id=100047697322424')]"
4,The Last Thing He Told Me: A Novel,Laura Dave,Paperback,"[('Laura Dave (@lauradaveauthor) • ...Instagramhttps://www.instagram.com › lauradaveauthor', 'https://www.instagram.com/lauradaveauthor/?hl=en'), ('Laura DaveFacebookhttps://www.facebook.com › ... › Author › Laura Dave', 'https://www.facebook.com/LauraDaveFans/'), ('Laura Dave (@LauraDave) / TwitterTwitterhttps://twitter.com › lauradave', 'https://twitter.com/lauradave?lang=en')]"
5,The 48 Laws of Power,Robert Greene,Paperback,"[('Robert Greene (@RobertGreene) / TwitterTwitterhttps://twitter.com › RobertGreene', 'https://twitter.com/RobertGreene')]"
6,Lessons in Chemistry: A Novel,Bonnie Garmus,Hardcover,"[('Bonnie Garmus (@bonnie_garmus_author) ...Instagramhttps://www.instagram.com › bonnie_garmus_author', 'https://www.instagram.com/bonnie_garmus_author/?hl=en'), ('Bonnie Garmus (@BonnieGarmus) / TwitterTwitterhttps://twitter.com › bonniegarmus', 'https://twitter.com/bonniegarmus?lang=en'), ('Virtual Author Talk - Bonnie GarmusFacebookhttps://m.facebook.com › events', 'https://m.facebook.com/events/1169638393988571/')]"
7,The Return of the Gods,Jonathan Cahn,Hardcover,"[('Jonathan CahnInstagramhttps://www.instagram.com › jonathan', 'https://www.instagram.com/jonathan.cahn/?hl=en'), ('Jonathan Cahn (@Jonathan_Cahn) / TwitterTwitterhttps://twitter.com › Jonathan_Cahn', 'https://twitter.com/Jonathan_Cahn'), ('Jonathan CahnFacebookhttps://www.facebook.com › ... › Jonathan Cahn', 'https://www.facebook.com/jonathancahn.official/')]"
8,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Paperback,"[('NICABM - According to Bessel van der Kolk, MD, there are...Facebookhttps://www.facebook.com › NICABM › posts › accordi...', 'https://www.facebook.com/NICABM/posts/according-to-bessel-van-der-kolk-md-there-are-three-core-ways-that-trauma-can-ch/10157512380516314/')]"
9,It Starts with Us: A Novel (2) (It Ends with Us),Colleen Hoover,Paperback,"[('Colleen Hoover (@colleenhoover) • Instagram photos and ...Instagramhttps://www.instagram.com › colleenhoover', 'https://www.instagram.com/colleenhoover/?hl=en#:~:text=Colleen%20Hoover%20(%40colleenhoover)%20%E2%80%A2%20Instagram%20photos%20and%20videos'), ('Colleen HooverFacebookhttps://www.facebook.com › ... › Colleen Hoover', 'https://www.facebook.com/AuthorColleenHoover/'), ('Colleen HooverTwitterhttps://twitter.com › colleenhoover', 'https://twitter.com/colleenhoover')]"
10,"Oh, the Places You'll Go!  ",Dr. Seuss,Hardcover,"[('Dr. Seuss - HomeFacebookhttps://www.facebook.com › ... › Public figure › Author', 'https://www.facebook.com/Dr.Seuss/'), ('Dr. Seuss (@drseuss) • Instagram photos and videosInstagramhttps://www.instagram.com › drseuss', 'https://www.instagram.com/drseuss/?hl=en')]"
